token_id,Fur Color,Headwear,Eyewear,Outfit,Neck Accessory,Expression,Background Color
1,sand brown,wide brim hat,square sunglasses,plaid overshirt,diamond dog tag,confident,bright orange
2,cream,flat cap,luxury black sunglasses,yellow designer jacket,silver pendant chain,luxury smirk,bright cyan
3,cream,beret,square sunglasses,galaxy print jacket,none,luxury smirk,bright teal
4,golden brown,none,sport sunglasses,black leather jacket,silver pendant chain,serious,bright cyan
5,charcoal black,bowler hat,square sunglasses,orange bomber jacket,gold cuban chain,luxury smirk,bright teal
6,ash gray,baseball cap,gold rim sunglasses,purple velvet blazer,gold cuban chain,relaxed,bright lavender
7,ivory,wide brim hat,square sunglasses,purple velvet blazer,gold cuban chain,relaxed,bright lavender
8,silver gray,baseball cap,square sunglasses,black luxury shirt,silver cuban chain,luxury smirk,bright blue
9,ash gray,newsboy cap,gold rim sunglasses,rockstar stage jacket,thick gold chain,relaxed,bright blue
10,charcoal black,cowboy hat,none,luxury streetwear hoodie,gold pendant chain,relaxed,bright lavender
11,ash gray,newsboy cap,aviator sunglasses,black leather jacket,silver cuban chain,calm,bright yellow
12,jet black,bowler hat,round sunglasses,luxury streetwear hoodie,gold pendant chain,calm,bright pink
13,ash gray,cowboy hat,luxury black sunglasses,black leather jacket,none,luxury smirk,bright cyan
14,jet black,newsboy cap,aviator sunglasses,blue luxury shirt,gold pendant chain,luxury smirk,bright lavender
15,sand brown,cowboy hat,luxury black sunglasses,denim jacket,silver cuban chain,calm,bright yellow
16,walnut brown,wide brim hat,round sunglasses,racing jacket,gold cuban chain,determined,bright yellow
17,ivory,wide brim hat,round sunglasses,multicolor graffiti jacket,gold pendant chain,calm,bright coral
18,cream,flat cap,sport sunglasses,white suit jacket,gold pendant chain,luxury smirk,bright yellow
19,sand brown,beret,aviator sunglasses,plaid overshirt,silver cuban chain,determined,bright purple
20,cream,cowboy hat,none,red luxury shirt,gold cuban chain,serious,bright lime
21,jet black,newsboy cap,luxury black sunglasses,luxury streetwear hoodie,none,confident,bright lavender
22,dark brown,beret,square sunglasses,denim jacket,thick gold chain,determined,bright pink
23,silver gray,newsboy cap,aviator sunglasses,racing jacket,gold pendant chain,determined,bright yellow
24,charcoal black,baseball cap,luxury black sunglasses,multicolor graffiti jacket,gold pendant chain,calm,bright red
25,cream,newsboy cap,aviator sunglasses,black leather jacket,diamond dog tag,calm,bright lime
26,charcoal black,flat cap,round sunglasses,yellow designer jacket,none,calm,bright cyan
27,ash gray,baseball cap,gold rim sunglasses,luxury streetwear hoodie,silver pendant chain,confident,bright cyan
28,charcoal black,newsboy cap,none,orange bomber jacket,diamond dog tag,luxury smirk,bright coral
29,charcoal black,baseball cap,gold rim sunglasses,white suit jacket,diamond dog tag,determined,bright purple
30,ivory,flat cap,none,green varsity jacket,diamond dog tag,luxury smirk,bright lime
31,jet black,wide brim hat,none,yellow designer jacket,gold cuban chain,luxury smirk,bright red
32,ash gray,beret,sport sunglasses,orange bomber jacket,silver pendant chain,determined,bright yellow
33,jet black,wide brim hat,sport sunglasses,denim jacket,none,focused,bright orange
34,cream,bowler hat,gold rim sunglasses,galaxy print jacket,diamond dog tag,confident,bright yellow
35,ash gray,bowler hat,sport sunglasses,green varsity jacket,thick gold chain,calm,bright lavender
36,sand brown,fedora,round sunglasses,racing jacket,none,determined,bright lime
37,jet black,flat cap,aviator sunglasses,orange bomber jacket,thick gold chain,relaxed,bright orange
38,jet black,bucket hat,gold rim sunglasses,orange bomber jacket,thick gold chain,confident,bright mint
39,jet black,newsboy cap,round sunglasses,galaxy print jacket,thick gold chain,confident,bright cyan
40,charcoal black,bucket hat,round sunglasses,purple velvet blazer,thick gold chain,serious,bright orange
41,dark brown,cowboy hat,gold rim sunglasses,multicolor graffiti jacket,thick gold chain,determined,bright orange
42,silver gray,newsboy cap,none,green varsity jacket,thick gold chain,calm,bright lime
43,ash gray,none,aviator sunglasses,yellow designer jacket,gold cuban chain,serious,bright pink
44,silver gray,flat cap,luxury black sunglasses,yellow designer jacket,silver pendant chain,luxury smirk,bright lime
45,sand brown,baseball cap,aviator sunglasses,white suit jacket,none,calm,bright purple
46,ash gray,beret,gold rim sunglasses,blue luxury shirt,gold pendant chain,confident,bright teal
47,charcoal black,newsboy cap,aviator sunglasses,plaid overshirt,none,focused,bright lavender
48,golden brown,flat cap,round sunglasses,purple velvet blazer,none,determined,bright red
49,jet black,beret,sport sunglasses,denim jacket,diamond dog tag,determined,bright mint
50,ash gray,flat cap,luxury black sunglasses,white suit jacket,none,determined,bright coral
51,ivory,wide brim hat,round sunglasses,luxury streetwear hoodie,none,relaxed,bright teal
52,jet black,newsboy cap,luxury black sunglasses,orange bomber jacket,none,relaxed,bright mint
53,charcoal black,beret,aviator sunglasses,luxury streetwear hoodie,thick gold chain,serious,bright blue
54,silver gray,cowboy hat,round sunglasses,blue luxury shirt,thick gold chain,luxury smirk,bright lavender
55,charcoal black,bowler hat,round sunglasses,racing jacket,gold pendant chain,luxury smirk,bright orange
56,sand brown,cowboy hat,none,orange bomber jacket,diamond dog tag,determined,bright lavender
57,ivory,baseball cap,gold rim sunglasses,purple velvet blazer,thick gold chain,determined,bright lime
58,sand brown,cowboy hat,luxury black sunglasses,luxury streetwear hoodie,thick gold chain,relaxed,bright lavender
59,sand brown,wide brim hat,gold rim sunglasses,white suit jacket,none,luxury smirk,bright lavender
60,ivory,newsboy cap,sport sunglasses,white suit jacket,silver pendant chain,determined,bright yellow
61,golden brown,flat cap,aviator sunglasses,black leather jacket,diamond dog tag,relaxed,bright coral
62,charcoal black,flat cap,square sunglasses,rockstar stage jacket,gold pendant chain,serious,bright blue
63,ash gray,wide brim hat,square sunglasses,black leather jacket,silver pendant chain,focused,bright pink
64,jet black,bucket hat,none,black leather jacket,diamond dog tag,determined,bright yellow
65,ivory,beret,sport sunglasses,denim jacket,gold cuban chain,serious,bright blue
66,ivory,bowler hat,none,purple velvet blazer,diamond dog tag,relaxed,bright purple
67,walnut brown,wide brim hat,round sunglasses,galaxy print jacket,gold cuban chain,serious,bright coral
68,ivory,none,sport sunglasses,red luxury shirt,gold pendant chain,determined,bright cyan
69,charcoal black,cowboy hat,luxury black sunglasses,yellow designer jacket,none,calm,bright mint
70,sand brown,none,round sunglasses,white suit jacket,gold pendant chain,focused,bright blue
71,dark brown,baseball cap,none,rockstar stage jacket,silver pendant chain,calm,bright teal
72,walnut brown,flat cap,aviator sunglasses,yellow designer jacket,silver pendant chain,confident,bright blue
73,cream,wide brim hat,square sunglasses,orange bomber jacket,gold pendant chain,relaxed,bright pink
74,cream,newsboy cap,round sunglasses,galaxy print jacket,gold cuban chain,determined,bright pink
75,jet black,fedora,aviator sunglasses,black leather jacket,silver pendant chain,serious,bright lavender
76,walnut brown,beret,luxury black sunglasses,plaid overshirt,silver pendant chain,serious,bright cyan
77,sand brown,beret,aviator sunglasses,black luxury shirt,diamond dog tag,focused,bright cyan
78,jet black,beret,luxury black sunglasses,plaid overshirt,thick gold chain,focused,bright coral
79,golden brown,bowler hat,gold rim sunglasses,rockstar stage jacket,thick gold chain,serious,bright lime
80,golden brown,cowboy hat,luxury black sunglasses,rockstar stage jacket,silver pendant chain,relaxed,bright pink
81,charcoal black,wide brim hat,gold rim sunglasses,black leather jacket,diamond dog tag,relaxed,bright yellow
82,charcoal black,bucket hat,aviator sunglasses,denim jacket,gold cuban chain,serious,bright purple
83,walnut brown,none,luxury black sunglasses,galaxy print jacket,gold pendant chain,serious,bright lime
84,charcoal black,beret,gold rim sunglasses,luxury streetwear hoodie,silver pendant chain,focused,bright mint
85,silver gray,fedora,none,white suit jacket,thick gold chain,focused,bright lavender
86,jet black,bucket hat,sport sunglasses,multicolor graffiti jacket,gold pendant chain,luxury smirk,bright teal
87,walnut brown,beret,none,black luxury shirt,silver pendant chain,determined,bright lime
88,golden brown,beret,round sunglasses,denim jacket,diamond dog tag,determined,bright yellow
89,ash gray,fedora,luxury black sunglasses,rockstar stage jacket,diamond dog tag,confident,bright blue
90,walnut brown,flat cap,none,rockstar stage jacket,gold pendant chain,relaxed,bright lavender
91,dark brown,bucket hat,aviator sunglasses,denim jacket,gold cuban chain,determined,bright purple
92,sand brown,cowboy hat,aviator sunglasses,black luxury shirt,silver pendant chain,focused,bright teal
93,jet black,none,aviator sunglasses,red luxury shirt,gold pendant chain,calm,bright pink
94,jet black,bucket hat,square sunglasses,luxury streetwear hoodie,none,determined,bright purple
95,dark brown,wide brim hat,luxury black sunglasses,white suit jacket,gold cuban chain,calm,bright pink
96,dark brown,newsboy cap,luxury black sunglasses,galaxy print jacket,thick gold chain,focused,bright blue
97,silver gray,none,square sunglasses,red luxury shirt,thick gold chain,confident,bright lime
98,jet black,flat cap,square sunglasses,blue luxury shirt,silver pendant chain,focused,bright mint
99,silver gray,wide brim hat,square sunglasses,purple velvet blazer,gold pendant chain,calm,bright purple
100,golden brown,cowboy hat,aviator sunglasses,black leather jacket,none,relaxed,bright blue
101,charcoal black,beret,square sunglasses,green varsity jacket,diamond dog tag,determined,bright lime
102,jet black,newsboy cap,gold rim sunglasses,white suit jacket,silver pendant chain,serious,bright coral
103,cream,beret,none,blue luxury shirt,silver cuban chain,confident,bright yellow
104,cream,beret,gold rim sunglasses,blue luxury shirt,diamond dog tag,determined,bright mint
105,cream,flat cap,square sunglasses,denim jacket,gold cuban chain,luxury smirk,bright cyan
106,silver gray,fedora,gold rim sunglasses,racing jacket,silver cuban chain,focused,bright purple
107,golden brown,baseball cap,square sunglasses,orange bomber jacket,gold cuban chain,relaxed,bright lavender
108,ivory,baseball cap,none,black luxury shirt,silver pendant chain,confident,bright blue
109,silver gray,wide brim hat,luxury black sunglasses,orange bomber jacket,gold cuban chain,calm,bright cyan
110,walnut brown,bowler hat,aviator sunglasses,denim jacket,diamond dog tag,serious,bright lime
111,ash gray,bowler hat,none,green varsity jacket,gold pendant chain,calm,bright teal
112,golden brown,beret,gold rim sunglasses,galaxy print jacket,silver pendant chain,confident,bright mint
113,golden brown,wide brim hat,none,white suit jacket,none,calm,bright blue
114,walnut brown,baseball cap,aviator sunglasses,green varsity jacket,silver cuban chain,focused,bright red
115,sand brown,fedora,square sunglasses,black luxury shirt,silver pendant chain,calm,bright lavender
116,ash gray,bucket hat,none,purple velvet blazer,gold pendant chain,serious,bright lime
117,walnut brown,beret,gold rim sunglasses,green varsity jacket,diamond dog tag,serious,bright mint
118,dark brown,fedora,aviator sunglasses,black leather jacket,gold pendant chain,luxury smirk,bright coral
119,dark brown,wide brim hat,aviator sunglasses,denim jacket,diamond dog tag,calm,bright red
120,jet black,fedora,gold rim sunglasses,yellow designer jacket,gold cuban chain,serious,bright purple
121,ash gray,wide brim hat,gold rim sunglasses,orange bomber jacket,silver cuban chain,focused,bright cyan
122,ash gray,flat cap,luxury black sunglasses,blue luxury shirt,gold pendant chain,determined,bright blue
123,sand brown,bowler hat,none,multicolor graffiti jacket,gold cuban chain,determined,bright lavender
124,charcoal black,cowboy hat,luxury black sunglasses,multicolor graffiti jacket,none,luxury smirk,bright blue
125,sand brown,bowler hat,none,red luxury shirt,gold pendant chain,determined,bright mint
126,cream,beret,none,black luxury shirt,silver pendant chain,determined,bright purple
127,golden brown,wide brim hat,gold rim sunglasses,denim jacket,silver pendant chain,relaxed,bright pink
128,golden brown,newsboy cap,round sunglasses,galaxy print jacket,silver cuban chain,confident,bright orange
129,dark brown,flat cap,none,multicolor graffiti jacket,gold cuban chain,luxury smirk,bright coral
130,jet black,fedora,round sunglasses,red luxury shirt,silver cuban chain,confident,bright red
131,cream,flat cap,aviator sunglasses,multicolor graffiti jacket,thick gold chain,focused,bright lime
132,dark brown,cowboy hat,sport sunglasses,blue luxury shirt,gold pendant chain,focused,bright orange
133,charcoal black,wide brim hat,none,luxury streetwear hoodie,thick gold chain,determined,bright lavender
134,golden brown,newsboy cap,luxury black sunglasses,green varsity jacket,thick gold chain,confident,bright red
135,sand brown,newsboy cap,none,galaxy print jacket,gold pendant chain,determined,bright purple
136,silver gray,fedora,sport sunglasses,multicolor graffiti jacket,silver pendant chain,luxury smirk,bright lavender
137,charcoal black,newsboy cap,gold rim sunglasses,white suit jacket,silver cuban chain,serious,bright teal
138,dark brown,newsboy cap,gold rim sunglasses,green varsity jacket,gold pendant chain,serious,bright coral
139,jet black,none,sport sunglasses,denim jacket,gold pendant chain,serious,bright cyan
140,walnut brown,bucket hat,aviator sunglasses,luxury streetwear hoodie,silver cuban chain,calm,bright mint
141,silver gray,baseball cap,sport sunglasses,purple velvet blazer,none,serious,bright pink
142,sand brown,baseball cap,round sunglasses,multicolor graffiti jacket,thick gold chain,confident,bright teal
143,ash gray,newsboy cap,none,red luxury shirt,thick gold chain,focused,bright teal
144,sand brown,bucket hat,luxury black sunglasses,yellow designer jacket,thick gold chain,determined,bright mint
145,ivory,bucket hat,aviator sunglasses,denim jacket,thick gold chain,confident,bright pink
146,sand brown,newsboy cap,none,yellow designer jacket,silver pendant chain,luxury smirk,bright yellow
147,golden brown,bucket hat,gold rim sunglasses,multicolor graffiti jacket,gold cuban chain,serious,bright teal
148,dark brown,wide brim hat,square sunglasses,purple velvet blazer,silver cuban chain,luxury smirk,bright teal
149,charcoal black,baseball cap,none,rockstar stage jacket,gold pendant chain,calm,bright coral
150,walnut brown,bucket hat,luxury black sunglasses,white suit jacket,silver cuban chain,relaxed,bright pink
151,charcoal black,none,aviator sunglasses,denim jacket,none,determined,bright mint
152,jet black,flat cap,luxury black sunglasses,yellow designer jacket,diamond dog tag,focused,bright pink
153,ivory,wide brim hat,none,orange bomber jacket,none,relaxed,bright mint
154,cream,fedora,aviator sunglasses,rockstar stage jacket,diamond dog tag,relaxed,bright orange
155,ivory,baseball cap,round sunglasses,multicolor graffiti jacket,none,luxury smirk,bright orange
156,dark brown,beret,sport sunglasses,white suit jacket,thick gold chain,luxury smirk,bright lime
157,silver gray,bowler hat,aviator sunglasses,rockstar stage jacket,none,confident,bright lavender
158,walnut brown,flat cap,round sunglasses,green varsity jacket,none,serious,bright lavender
159,silver gray,bucket hat,round sunglasses,black luxury shirt,thick gold chain,serious,bright pink
160,dark brown,beret,none,rockstar stage jacket,diamond dog tag,calm,bright yellow
161,jet black,cowboy hat,square sunglasses,blue luxury shirt,none,confident,bright cyan
162,ash gray,flat cap,round sunglasses,black luxury shirt,gold cuban chain,serious,bright yellow
163,ash gray,baseball cap,square sunglasses,multicolor graffiti jacket,gold pendant chain,determined,bright yellow
164,cream,bucket hat,aviator sunglasses,black leather jacket,thick gold chain,calm,bright purple
165,ash gray,fedora,gold rim sunglasses,black luxury shirt,gold pendant chain,calm,bright pink
166,walnut brown,none,round sunglasses,multicolor graffiti jacket,gold cuban chain,focused,bright orange
167,silver gray,none,gold rim sunglasses,orange bomber jacket,silver pendant chain,focused,bright cyan
168,cream,fedora,round sunglasses,plaid overshirt,thick gold chain,luxury smirk,bright orange
169,cream,baseball cap,square sunglasses,galaxy print jacket,gold cuban chain,focused,bright pink
170,cream,baseball cap,round sunglasses,luxury streetwear hoodie,gold cuban chain,calm,bright mint
171,cream,cowboy hat,aviator sunglasses,denim jacket,gold cuban chain,serious,bright red
172,golden brown,baseball cap,round sunglasses,denim jacket,silver pendant chain,relaxed,bright red
173,silver gray,wide brim hat,square sunglasses,red luxury shirt,gold cuban chain,luxury smirk,bright cyan
174,ivory,cowboy hat,none,yellow designer jacket,thick gold chain,focused,bright teal
175,charcoal black,bowler hat,gold rim sunglasses,blue luxury shirt,gold cuban chain,calm,bright blue
176,charcoal black,baseball cap,square sunglasses,black leather jacket,gold pendant chain,confident,bright blue
177,jet black,bucket hat,gold rim sunglasses,racing jacket,none,calm,bright mint
178,silver gray,flat cap,aviator sunglasses,multicolor graffiti jacket,thick gold chain,luxury smirk,bright pink
179,ash gray,bucket hat,luxury black sunglasses,blue luxury shirt,gold pendant chain,relaxed,bright lime
180,walnut brown,newsboy cap,none,plaid overshirt,diamond dog tag,determined,bright cyan
181,cream,cowboy hat,none,black leather jacket,none,determined,bright teal
182,charcoal black,none,luxury black sunglasses,purple velvet blazer,diamond dog tag,serious,bright lime
183,walnut brown,baseball cap,gold rim sunglasses,black leather jacket,thick gold chain,relaxed,bright mint
184,dark brown,newsboy cap,sport sunglasses,black luxury shirt,gold pendant chain,luxury smirk,bright blue
185,jet black,cowboy hat,square sunglasses,purple velvet blazer,silver cuban chain,determined,bright cyan
186,charcoal black,wide brim hat,square sunglasses,black leather jacket,gold pendant chain,serious,bright cyan
187,ivory,wide brim hat,aviator sunglasses,red luxury shirt,diamond dog tag,determined,bright red
188,golden brown,flat cap,gold rim sunglasses,denim jacket,none,determined,bright lime
189,golden brown,bucket hat,sport sunglasses,denim jacket,none,determined,bright purple
190,jet black,cowboy hat,sport sunglasses,black leather jacket,none,relaxed,bright red
191,jet black,wide brim hat,aviator sunglasses,denim jacket,gold cuban chain,focused,bright coral
192,golden brown,flat cap,round sunglasses,black luxury shirt,none,confident,bright purple
193,jet black,baseball cap,sport sunglasses,black leather jacket,gold cuban chain,focused,bright cyan
194,ivory,wide brim hat,sport sunglasses,red luxury shirt,thick gold chain,serious,bright teal
195,silver gray,fedora,round sunglasses,purple velvet blazer,gold cuban chain,relaxed,bright yellow
196,walnut brown,beret,gold rim sunglasses,denim jacket,diamond dog tag,focused,bright coral
197,dark brown,newsboy cap,round sunglasses,orange bomber jacket,none,relaxed,bright yellow
198,walnut brown,bowler hat,none,white suit jacket,thick gold chain,relaxed,bright purple
199,ivory,newsboy cap,none,black luxury shirt,silver pendant chain,relaxed,bright mint
200,jet black,flat cap,aviator sunglasses,racing jacket,none,confident,bright orange
201,cream,beret,gold rim sunglasses,white suit jacket,gold pendant chain,serious,bright coral
202,dark brown,cowboy hat,gold rim sunglasses,red luxury shirt,none,luxury smirk,bright purple
203,silver gray,fedora,aviator sunglasses,luxury streetwear hoodie,none,relaxed,bright lime
204,charcoal black,wide brim hat,round sunglasses,plaid overshirt,none,determined,bright teal
205,jet black,baseball cap,luxury black sunglasses,plaid overshirt,none,confident,bright cyan
206,ivory,beret,luxury black sunglasses,blue luxury shirt,gold cuban chain,relaxed,bright yellow
207,charcoal black,wide brim hat,gold rim sunglasses,yellow designer jacket,gold cuban chain,determined,bright cyan
208,charcoal black,flat cap,none,plaid overshirt,silver cuban chain,calm,bright pink
209,jet black,baseball cap,sport sunglasses,rockstar stage jacket,thick gold chain,determined,bright blue
210,silver gray,flat cap,luxury black sunglasses,multicolor graffiti jacket,diamond dog tag,luxury smirk,bright blue
211,charcoal black,newsboy cap,square sunglasses,racing jacket,gold pendant chain,calm,bright red
212,ivory,fedora,sport sunglasses,red luxury shirt,gold pendant chain,relaxed,bright yellow
213,ivory,beret,aviator sunglasses,yellow designer jacket,silver cuban chain,determined,bright orange
214,dark brown,fedora,luxury black sunglasses,white suit jacket,gold pendant chain,confident,bright pink
215,sand brown,cowboy hat,none,galaxy print jacket,gold cuban chain,focused,bright yellow
216,sand brown,baseball cap,square sunglasses,blue luxury shirt,thick gold chain,serious,bright cyan
217,dark brown,wide brim hat,sport sunglasses,galaxy print jacket,gold pendant chain,luxury smirk,bright red
218,ash gray,beret,aviator sunglasses,galaxy print jacket,diamond dog tag,relaxed,bright cyan
219,dark brown,flat cap,square sunglasses,purple velvet blazer,gold cuban chain,determined,bright yellow
220,jet black,flat cap,none,white suit jacket,diamond dog tag,serious,bright lime
221,golden brown,newsboy cap,luxury black sunglasses,blue luxury shirt,gold pendant chain,confident,bright lavender
222,sand brown,wide brim hat,none,luxury streetwear hoodie,thick gold chain,serious,bright yellow
223,sand brown,cowboy hat,gold rim sunglasses,blue luxury shirt,none,calm,bright purple
224,walnut brown,baseball cap,round sunglasses,orange bomber jacket,gold pendant chain,luxury smirk,bright coral
225,golden brown,none,gold rim sunglasses,white suit jacket,gold cuban chain,confident,bright cyan
226,golden brown,bucket hat,round sunglasses,orange bomber jacket,thick gold chain,determined,bright cyan
227,dark brown,flat cap,none,multicolor graffiti jacket,none,relaxed,bright lime
228,charcoal black,wide brim hat,sport sunglasses,galaxy print jacket,gold pendant chain,focused,bright orange
229,jet black,baseball cap,sport sunglasses,yellow designer jacket,silver pendant chain,focused,bright orange
230,ash gray,bowler hat,aviator sunglasses,red luxury shirt,diamond dog tag,focused,bright coral
231,charcoal black,wide brim hat,sport sunglasses,multicolor graffiti jacket,silver pendant chain,focused,bright cyan
232,sand brown,beret,none,denim jacket,silver cuban chain,luxury smirk,bright pink
233,silver gray,newsboy cap,luxury black sunglasses,galaxy print jacket,none,confident,bright lime
234,golden brown,wide brim hat,gold rim sunglasses,black leather jacket,thick gold chain,serious,bright orange
235,cream,beret,square sunglasses,denim jacket,silver pendant chain,relaxed,bright coral
236,sand brown,bucket hat,sport sunglasses,black leather jacket,silver cuban chain,serious,bright pink
237,ash gray,baseball cap,sport sunglasses,black leather jacket,gold pendant chain,serious,bright mint
238,ivory,baseball cap,gold rim sunglasses,green varsity jacket,silver pendant chain,calm,bright lime
239,ash gray,fedora,sport sunglasses,black leather jacket,silver cuban chain,calm,bright purple
240,jet black,fedora,luxury black sunglasses,green varsity jacket,gold cuban chain,serious,bright lavender
241,golden brown,bucket hat,round sunglasses,orange bomber jacket,silver cuban chain,luxury smirk,bright teal
242,charcoal black,flat cap,round sunglasses,black luxury shirt,gold pendant chain,luxury smirk,bright yellow
243,dark brown,baseball cap,square sunglasses,galaxy print jacket,none,confident,bright coral
244,walnut brown,none,round sunglasses,plaid overshirt,gold cuban chain,confident,bright mint
245,sand brown,flat cap,aviator sunglasses,multicolor graffiti jacket,gold cuban chain,determined,bright pink
246,charcoal black,flat cap,aviator sunglasses,red luxury shirt,gold pendant chain,relaxed,bright mint
247,ash gray,beret,sport sunglasses,multicolor graffiti jacket,gold pendant chain,calm,bright lime
248,cream,none,none,racing jacket,silver pendant chain,determined,bright red
249,walnut brown,bowler hat,square sunglasses,black leather jacket,silver cuban chain,determined,bright pink
250,silver gray,bucket hat,square sunglasses,racing jacket,thick gold chain,confident,bright orange
251,jet black,baseball cap,sport sunglasses,red luxury shirt,silver pendant chain,relaxed,bright coral
252,jet black,bucket hat,sport sunglasses,green varsity jacket,silver pendant chain,serious,bright pink
253,dark brown,bucket hat,luxury black sunglasses,white suit jacket,gold pendant chain,confident,bright lime
254,silver gray,bowler hat,square sunglasses,luxury streetwear hoodie,silver cuban chain,focused,bright mint
255,ash gray,cowboy hat,gold rim sunglasses,luxury streetwear hoodie,gold pendant chain,relaxed,bright cyan
256,cream,fedora,sport sunglasses,black luxury shirt,gold cuban chain,confident,bright teal
257,sand brown,bowler hat,gold rim sunglasses,galaxy print jacket,diamond dog tag,luxury smirk,bright purple
258,ash gray,beret,round sunglasses,green varsity jacket,diamond dog tag,relaxed,bright coral
259,jet black,beret,gold rim sunglasses,black luxury shirt,none,calm,bright orange
260,dark brown,cowboy hat,gold rim sunglasses,rockstar stage jacket,diamond dog tag,relaxed,bright orange
261,walnut brown,beret,round sunglasses,orange bomber jacket,thick gold chain,focused,bright purple
262,ivory,fedora,sport sunglasses,yellow designer jacket,thick gold chain,determined,bright lime
263,dark brown,none,sport sunglasses,blue luxury shirt,none,focused,bright lavender
264,jet black,beret,gold rim sunglasses,galaxy print jacket,silver cuban chain,serious,bright mint
265,ash gray,newsboy cap,square sunglasses,rockstar stage jacket,gold cuban chain,focused,bright mint
266,jet black,bowler hat,round sunglasses,black leather jacket,diamond dog tag,serious,bright blue
267,jet black,none,luxury black sunglasses,galaxy print jacket,diamond dog tag,focused,bright yellow
268,ivory,flat cap,none,red luxury shirt,gold pendant chain,determined,bright purple
269,ivory,bowler hat,gold rim sunglasses,denim jacket,silver cuban chain,luxury smirk,bright yellow
270,cream,cowboy hat,luxury black sunglasses,red luxury shirt,none,luxury smirk,bright lime
271,ivory,bucket hat,sport sunglasses,orange bomber jacket,gold cuban chain,confident,bright red
272,ivory,flat cap,gold rim sunglasses,green varsity jacket,gold pendant chain,luxury smirk,bright purple
273,walnut brown,bucket hat,none,red luxury shirt,silver pendant chain,determined,bright lime
274,walnut brown,baseball cap,gold rim sunglasses,plaid overshirt,silver pendant chain,determined,bright orange
275,charcoal black,cowboy hat,none,black luxury shirt,thick gold chain,calm,bright purple
276,charcoal black,flat cap,gold rim sunglasses,white suit jacket,diamond dog tag,focused,bright orange
277,sand brown,bowler hat,aviator sunglasses,green varsity jacket,thick gold chain,focused,bright purple
